0,1,2
County,Frost Start,Frost End
StLouis,2001/11/28,2002/04/17
StLouis,2002/11/13,2003/04/19
StLouis,2003/11/06,2004/04/10
StLouis,2004/11/28,2005/04/12
StLouis,2005/11/17,2006/04/07
StLouis,2006/11/28,2007/04/23
StLouis,2007/11/21,2008/04/27
StLouis,2008/11/18,2009/04/30
StLouis,2009/11/29,2010/04/08
StLouis,2010/11/22,2011/04/23
StLouis,2011/11/16,2012/03/23
StLouis,2012/11/26,2013/04/30
StLouis,2013/11/26,2014/05/27
StLouis,2014/11/12,2015/04/20
StLouis,2015/11/20,2016/04/04
StLouis,12/27/2016*,2017/04/03
StLouis,2017/11/13,2018/04/25
StLouis,2018/11/13,2019/04/23
StLouis,2019/11/08,2020/04/06
StLouis,2020/11/30,2021/04/01
StLouis,12/1/2021*,2022/04/28
